T          V        N   RS       MinV       MaxV
1355296953 1.798650 006 10.792600 1.798650 1.798850
1355296954 1.798750 006 10.792600 1.798650 1.798850
1355296975 1.798550 007 12.591150 1.798550 1.798850
1355297043 1.798750 001 1.798750 1.798750 1.798750
1355297051 1.798850 002 3.597600 1.798750 1.798850
1355297067 1.798750 003 5.396350 1.798750 1.798850
1355297076 1.798650 004 7.195000 1.798650 1.798850
1355297148 1.798850 001 1.798850 1.798850 1.798850
1355297194 1.798950 002 3.597800 1.798850 1.798950
1355297227 1.798750 002 3.597700 1.798750 1.798950
1355297266 1.798450 002 3.597200 1.798450 1.798750
1355297266 1.798350 003 5.395550 1.798350 1.798750
1355297308 1.798250 003 5.395050 1.798250 1.798450
1355297344 1.797950 002 3.596200 1.797950 1.798250
1355297355 1.798050 003 5.394250 1.797950 1.798250
1355297356 1.797950 004 7.192200 1.797950 1.798250
1355297368 1.798450 004 7.192400 1.797950 1.798450
1355297371 1.798650 005 8.991050 1.797950 1.798650
1355297388 1.798450 006 10.789500 1.797950 1.798650
1355297405 1.798550 006 10.790100 1.797950 1.798650
1355297406 1.798450 007 12.588550 1.797950 1.798650
1355297417 1.798550 006 10.791100 1.798450 1.798650
1355297475 1.798450 002 3.597000 1.798450 1.798550
1355297488 1.798550 002 3.597000 1.798450 1.798550
1355297503 1.798650 003 5.395650 1.798450 1.798650
1355297503 1.798350 004 7.194000 1.798350 1.798650
1355297614 1.798650 001 1.798650 1.798650 1.798650
1355297623 1.798750 002 3.597400 1.798650 1.798750
1355297624 1.798650 003 5.396050 1.798650 1.798750
1355297636 1.798750 004 7.194800 1.798650 1.798750
1355297636 1.798650 005 8.993450 1.798650 1.798750
1355297685 1.798550 003 5.395950 1.798550 1.798750
1355297698 1.798650 002 3.597200 1.798550 1.798650
1355297787 1.798550 001 1.798550 1.798550 1.798550
1355297803 1.798850 002 3.597400 1.798550 1.798850
1355297806 1.798950 003 5.396350 1.798550 1.798950
1355297807 1.798850 004 7.195200 1.798550 1.798950
1355297812 1.798750 005 8.993950 1.798550 1.798950
1355297817 1.799050 006 10.793000 1.798550 1.799050
1355297827 1.798950 007 12.591950 1.798550 1.799050
1355297832 1.799050 008 14.391000 1.798550 1.799050
1355297847 1.799150 008 14.391600 1.798750 1.799150
1355297878 1.799250 004 7.196400 1.798950 1.799250
